restaurant_name,n_reviews,average_rating,restaurant_address,zip_code,price_level,restaurant_url,Take_out,Credit_Cards,Reservations,Outdoor,Pets,Walkins,Parkings,Delivery,Wheelchair,Group,Vegetarian,Casual,Classy,Catering,Cuisine_1,Cuisine_2,Cuisine_3
Asian Buffet Mongolian Grill,15,3.2,"259 A St NE Linton, IN 47441",47441,1,https://www.yelp.com/biz/asian-buffet-mongolian-grill-linton?osq=Restaurants,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Buffets,Mongolian,Chinese
China Sea Restaurant,10,3.4,"1600 A St NE Ste 11 Linton, IN 47441",47441,0,https://www.yelp.com/biz/china-sea-restaurant-linton?osq=Restaurants,1,0,0,1,0,0,1,0,0,0,1,0,0,0,Chinese,,
Goose Pond Pizza,7,5,"1983 E State Hwy 54 Linton, IN 47441",47441,0,https://www.yelp.com/biz/goose-pond-pizza-linton?osq=Restaurants,1,1,0,1,1,1,1,0,0,0,0,0,0,0,Pizza,,
Jo Etta's Pizza Villa,17,3.4,"655 NW A St Linton, IN 47441",47441,0,https://www.yelp.com/biz/jo-ettas-pizza-villa-linton?osq=Restaurants,1,1,0,1,0,0,0,0,1,1,0,0,0,0,Pizza,American,
Subway,3,1,"140 NE 3rd St Linton, IN 47441",47441,1,https://www.yelp.com/biz/subway-linton-2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Sandwiches,Fast Food,
Pizza Hut,1,1,"9610 W State Road 54 Linton, IN 47441",47441,1,https://www.yelp.com/biz/pizza-hut-linton-3,1,1,0,0,1,0,0,1,1,0,1,0,0,0,Pizza,Chicken Wings,Fast Food
Burger King,3,1.3,"2201 E State Hwy 54 Linton, IN 47441",47441,1,https://www.yelp.com/biz/burger-king-linton,0,0,0,0,0,0,0,1,0,1,0,0,1,0,Burgers,Fast Food,
Cinco De Mayo Mexican Restaurant,12,4.3,"200 Hwy 67 Lyons, IN 47443",47443,0,https://www.yelp.com/biz/cinco-de-mayo-mexican-restaurant-lyons?osq=Restaurants,1,1,0,0,0,0,1,0,0,1,1,0,0,0,Mexican,,
Railroad Cafe,62,3.9,"641 W Main St Mitchell, IN 47446",47446,0,https://www.yelp.com/biz/railroad-cafe-mitchell?osq=Restaurants,1,1,0,0,0,0,0,0,1,0,1,0,0,1,Cafes,Breakfast & Brunch,Sandwiches
Gatesville Country Store,11,4.6,"4525 Salt Creek Rd Nashville, IN 47448",47448,0,https://www.yelp.com/biz/gatesville-country-store-nashville?osq=Restaurants,0,1,0,0,0,0,0,0,0,0,0,0,1,1,Grocery,Breakfast & Brunch,
Sycamore Saloon,13,4,"1292 State Rd 135 S Nashville, IN 47448",47448,2,https://www.yelp.com/biz/sycamore-saloon-nashville?osq=Restaurants,0,1,0,1,1,0,1,0,0,0,0,0,0,0,Salad,Pizza,Sandwiches
Ferguson House Bistro & Bar,28,4.2,"78 Franklin St Nashville, IN 47448",47448,2,https://www.yelp.com/biz/ferguson-house-bistro-and-bar-nashville?osq=Restaurants,1,1,1,0,0,0,0,0,0,1,1,1,0,1,Desserts,Soup,Comfort Food
Cooper’s Alley,2,3,"110 N Van Buren St Nashville, IN 47448",47448,2,https://www.yelp.com/biz/cooper-s-alley-nashville?osq=Restaurants,1,1,0,1,0,0,0,1,0,0,1,0,0,1,Southern,Bed & Breakfast,Cocktail Bars
Hobnob Corner,257,4.1,"17 W Main St Nashville, IN 47448",47448,2,https://www.yelp.com/biz/hobnob-corner-nashville-5?osq=Restaurants,1,0,0,0,0,0,0,0,0,0,1,0,0,0,American,,
Hard Truth Distilling,382,3.8,"418 Old State Rd 46 Nashville, IN 47448",47448,2,https://www.yelp.com/biz/hard-truth-distilling-nashville?osq=Restaurants,1,1,0,1,0,1,0,0,1,0,0,0,0,1,Beer Tours,Distilleries,American
Bird's Nest Cafe,179,4.4,"36 W Franklin St Robinwood Inn Nashville, IN 47448",47448,0,https://www.yelp.com/biz/birds-nest-cafe-nashville?osq=Restaurants,1,0,1,1,1,0,1,0,1,0,1,0,0,0,Breakfast & Brunch,Cafes,
Big Woods Pizza,295,4,"44 N Van Buren St Nashville, IN 47448",47448,2,https://www.yelp.com/biz/big-woods-pizza-nashville?osq=Restaurants,1,0,1,0,1,0,1,0,0,0,0,0,0,0,Pizza,Brewpubs,Chicken Wings
Speakeasy Pizza,31,4.5,"120 W Jefferson St Orleans, IN 47452",47452,0,https://www.yelp.com/biz/speakeasy-pizza-orleans?osq=Restaurants,0,0,0,0,1,0,0,0,0,0,0,0,1,1,Pizza,,
Lillie's Place,6,4.8,"281 South Maple St Orleans, IN 47452",47452,0,https://www.yelp.com/biz/lillies-place-orleans?osq=Restaurants,1,1,0,0,0,0,0,0,1,0,1,0,0,0,American,,
Burton's Farmhouse,35,4.6,"2547 N State Rd 37 Paoli, IN 47454",47454,2,https://www.yelp.com/biz/burtons-farmhouse-paoli?osq=Restaurants,1,1,0,1,0,0,1,0,0,0,0,0,0,1,Breakfast & Brunch,American,
The Superburger,54,4.4,"600 W Main St Paoli, IN 47454",47454,0,https://www.yelp.com/biz/the-superburger-paoli?osq=Restaurants,1,1,0,0,0,1,1,0,0,1,0,0,0,1,Burgers,Salad,Sandwiches
Pizza Hut,4,2.5,"407 SW 1st St Paoli, IN 47454",47454,1,https://www.yelp.com/biz/pizza-hut-paoli,1,1,0,0,1,1,0,0,0,0,0,0,0,0,Pizza,Chicken Wings,Fast Food
KFC,5,3,"925 N Gospel St Paoli, IN 47454",47454,1,https://www.yelp.com/biz/kfc-paoli-3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,Fast Food,Chicken Wings,Chicken Shop
Hacienda El Asadero,15,4.5,"889 N Gospel St Paoli, IN 47454",47454,0,https://www.yelp.com/biz/hacienda-el-asadero-paoli?osq=Restaurants,1,1,0,0,1,0,0,0,0,0,0,0,1,1,Mexican,,
Connie's Country Cooking,13,4,"300 E Main St Paoli, IN 47454",47454,0,https://www.yelp.com/biz/connies-country-cooking-paoli?osq=Restaurants,0,1,0,0,0,1,0,0,0,0,0,0,0,0,Breakfast & Brunch,,
Ritz Restaurant,9,4.2,"2008 W Main St Paoli, IN 47454",47454,0,https://www.yelp.com/biz/ritz-restaurant-paoli?osq=Restaurants,1,0,0,1,0,0,0,0,0,0,0,0,0,0,American,,
Yamato Japanese Steak House,19,4.5,"909 N Gospel St Paoli, IN 47454",47454,0,https://www.yelp.com/biz/yamato-japanese-steak-house-paoli?osq=Restaurants,1,1,0,1,0,0,0,0,1,0,0,0,1,0,Japanese,Steakhouses,
