zip,primary_city,county
47616,Griffin,Posey County
47617,Hatfield,Spencer County
47618,Inglefield,Vanderburgh County
47619,Lynnville,Warrick County
47620,Mount Vernon,Posey County
47629,Newburgh,Warrick County
47630,Newburgh,Warrick County
47631,New Harmony,Posey County
47633,Poseyville,Posey County
47634,Richland,Spencer County
47635,Rockport,Spencer County
47637,Tennyson,Warrick County
47638,Wadesville,Posey County
47639,Haubstadt,Gibson County
47640,Hazleton,Gibson County
47647,Buckskin,Gibson County
47648,Fort Branch,Gibson County
47649,Francisco,Gibson County
47654,Mackey,Gibson County
47660,Oakland City,Gibson County
47665,Owensville,Gibson County
47666,Patoka,Gibson County
47670,Princeton,Gibson County
47683,Somerville,Gibson County
47701,Evansville,Vanderburgh County
47702,Evansville,Vanderburgh County
47703,Evansville,Vanderburgh County
47704,Evansville,Vanderburgh County
47705,Evansville,Vanderburgh County
47706,Evansville,Vanderburgh County
47708,Evansville,Vanderburgh County
47710,Evansville,Vanderburgh County
47711,Evansville,Vanderburgh County
47712,Evansville,Vanderburgh County
47713,Evansville,Vanderburgh County
47714,Evansville,Vanderburgh County
47715,Evansville,Vanderburgh County
47716,Evansville,Vanderburgh County
47719,Evansville,Vanderburgh County
47720,Evansville,Vanderburgh County
47721,Evansville,Vanderburgh County
47722,Evansville,Vanderburgh County
47724,Evansville,Vanderburgh County
47725,Evansville,Vanderburgh County
47727,Evansville,Vanderburgh County
47728,Evansville,Vanderburgh County
47730,Evansville,Vanderburgh County
47731,Evansville,Vanderburgh County
47732,Evansville,Vanderburgh County
47733,Evansville,Vanderburgh County
47734,Evansville,Vanderburgh County
47735,Evansville,Vanderburgh County
47736,Evansville,Vanderburgh County
47737,Evansville,Vanderburgh County
47739,Evansville,Vanderburgh County
47740,Evansville,Vanderburgh County
47741,Evansville,Vanderburgh County
47744,Evansville,Vanderburgh County
47747,Evansville,Vanderburgh County
47750,Evansville,Vanderburgh County
47801,Terre Haute,Vigo County
47802,Terre Haute,Vigo County
47803,Terre Haute,Vigo County
47804,Terre Haute,Vigo County
